country,gender,math,stats,name,studNumber
DE,male,3.89,3.55,Solis Kaiden,19-4283
DE,male,3.69,3.87,Pearson Colin,19-4820
DE,male,4.25,4.45,Keith Andre,19-1206
DE,male,5.7,6,Levine Kelvin,19-5895
DE,male,4.86,5.42,Howard Ramon,19-2262
DE,male,5.54,5.13,Mcclain Tristen,19-3846
DE,male,2.91,3.62,Garza Kylan,19-5830
DE,male,2.59,2.62,Burke Tristin,19-2518
DE,male,4.12,3.72,Nixon Dereon,19-2905
DE,male,3.72,3.78,Carey Bryant,19-6171
DE,female,4.45,4.85,Fowler Lydia,19-2653
DE,female,4.36,5.4,Webb Jaidyn,19-8243
DE,female,5.84,5,Harrison Alayna,19-9826
DE,female,5.81,4.59,Little Sonia,19-7302
DE,female,5.64,5.86,Love Cierra,19-3439
DE,female,4.42,4.37,Knapp Brooklynn,19-5841
DE,female,3.07,4.18,Moran Victoria,19-1078
DE,female,3.99,5.28,Mendez Alanna,19-9063
DE,female,5.83,5.61,Adams Genesis,19-8796
DE,female,6,5.99,Wilkins Lesly,19-8177
DE,female,5.34,5.55,Davidson Rosa,19-2608
DE,female,4.75,5.53,Johnson Miley,19-5943
DE,female,4.63,4.97,Duncan Violet,19-0226
DE,female,5.08,5.48,Barber Emilia,19-4253
DE,female,4.42,4.03,Horn Amiyah,19-3127
DE,female,6,5.51,Estes Emily,19-1615
DE,female,2.72,2.78,Higgins Annika,19-1788
DE,female,4.42,3.99,Douglas Maleah,19-4229
DE,female,5.47,4.57,Holloway Jazlene,19-0943
AT,male,5.36,5.13,Foster Xavier,19-5985
AT,male,4.1,3.89,Lee Dillon,19-4709
AT,male,3.7,3.93,Krause Jaeden,19-6959
AT,male,4.03,5.11,Conway Jacoby,19-6999
AT,male,6,5.32,Silva Houston,19-6385
AT,male,5.1,6,Li Jamal,19-0337
AT,male,5.26,5.1,Serrano Chase,19-0688
AT,male,2.46,3.8,Holland Antoine,19-3196
AT,male,3.06,2.5,Hammond Deandre,19-5309
AT,male,3.82,3.82,Weber Joey,19-6544
AT,male,4.03,3.92,Moyer Derek,19-4076
AT,male,4.67,5.13,Haynes Gunnar,19-8199
AT,male,5.03,5,Durham Keaton,19-7183
AT,male,5.23,5.14,Travis Demarcus,19-9686
AT,male,5.86,5.14,Colon Frederick,19-5313
AT,male,5.96,6,Schroeder Ali,19-3252
AT,male,4.94,4.2,Chan Nathen,19-1057
AT,male,3.24,4.6,Dean Jovanni,19-6109
AT,female,4.24,5.32,Vargas Anika,19-7788
AT,female,6,5.8,Rogers Carmen,19-4235
AT,female,5.93,5.8,Ware Kenya,19-0909
AT,female,4.68,5.58,Castro Ayana,19-2665
AT,female,5.41,5.72,Vasquez Adelaide,19-1537
AT,female,4.47,4.6,Johns Aria,19-2810
CH,female,5.06,5.28,Potts Logan,19-4401
CH,female,4.56,4,Nielsen Amy,19-5271
CH,female,5.75,5.48,Schultz Yamilet,19-4574
CH,female,2.47,3.27,Ryan Kaydence,19-8753
CH,female,4.6,4.18,Goodwin Melanie,19-5181
CH,female,4.73,4.61,Madden Barbara,19-9436
CH,female,5.41,5.38,Harper Alejandra,19-6377
CH,female,4.11,4.28,Winters Dylan,19-9576
CH,female,2.95,4.07,Spencer Emilie,19-2407
CH,male,4.31,4.29,Sanders Alijah,19-6761
CH,male,6,5.8,Palmer Zaiden,19-2891
CH,male,5.29,5.86,Yoder Gilberto,19-6718
CH,male,5.41,4.52,Fisher Prince,19-6951
CH,male,3.13,3.49,Alexander Ignacio,19-0680
CH,male,2.19,2.42,Fleming Pranav,19-2548
CH,male,4.56,4.31,Hendrix Anton,19-2241
CH,male,4.28,4.26,Mccullough Darwin,19-6678
CH,male,4.74,5,Walls Giovanny,19-8444
CH,male,4.74,5.48,Ferrell Quentin,19-3445
CH,male,5.6,4.25,Hall Blaze,19-7805
CH,male,5.83,5.67,Walters Dennis,19-6753
CH,male,5.91,5.34,Carter Antonio,19-0068
CH,male,4.33,3.3,Norton Frankie,19-6022
CH,female,3.19,4.52,Forbes Raina,19-3868
CH,female,3.73,4.72,Sellers Nevaeh,19-9159
CH,female,5.94,5.62,Faulkner Cali,19-0012
CH,female,5.49,6,Rodgers Melissa,19-4625
CH,female,5.18,5.76,Contreras Melina,19-4244
CH,female,5.46,5.79,Kent Amelie,19-4609
CH,female,4.71,5.13,Castillo Krystal,19-7701
CH,female,5.58,5.03,Wong Camille,19-3225
CH,female,4.65,4.25,Mccarty Aniyah,19-7847
CH,female,5.56,5.66,Dalton Amber,19-4714
CH,female,2.19,3.27,Mcknight Julie,19-0358
CH,female,4.37,3.96,Phelps Asia,19-1759
CH,female,5.03,4.46,Burgess Jenna,19-7217
CH,female,4.84,4.3,Jimenez Lillianna,19-4735
CH,female,5.91,4.86,Howe Eliza,19-1528
