arts,name
4.14,Bowen Pedro
5.85,Solis Kaiden
5.54,Pearson Colin
4.8,Keith Andre
3.56,Levine Kelvin
4.05,Howard Ramon
6,Mcclain Tristen
5.91,Garza Kylan
5.84,Burke Tristin
5.41,Nixon Dereon
4.67,Carey Bryant
5.35,Fowler Lydia
2.95,Webb Jaidyn
4.01,Harrison Alayna
2.98,Little Sonia
3.68,Love Cierra
6,Knapp Brooklynn
5.54,Moran Victoria
5.59,Mendez Alanna
4.54,Adams Genesis
3.78,Wilkins Lesly
4.66,Davidson Rosa
3.42,Johnson Miley
5.18,Duncan Violet
3.18,Barber Emilia
4.84,Horn Amiyah
3.6,Estes Emily
5.57,Higgins Annika
6,Douglas Maleah
6,Holloway Jazlene
3.9,Foster Xavier
5.74,Lee Dillon
5.66,Krause Jaeden
4.68,Conway Jacoby
4.12,Silva Houston
3.77,Li Jamal
6,Serrano Chase
5.99,Holland Antoine
6,Hammond Deandre
5.37,Weber Joey
5.18,Moyer Derek
5.48,Haynes Gunnar
2.39,Durham Keaton
3.71,Travis Demarcus
3.18,Colon Frederick
3.48,Schroeder Ali
5.66,Chan Nathen
4.81,Dean Jovanni
5.57,Vargas Anika
3.7,Rogers Carmen
4.29,Ware Kenya
4.31,Castro Ayana
4.04,Vasquez Adelaide
4.68,Johns Aria
3.06,Potts Logan
5.04,Nielsen Amy
3.78,Schultz Yamilet
5.82,Ryan Kaydence
6,Goodwin Melanie
6,Madden Barbara
4.09,Harper Alejandra
5.39,Winters Dylan
5.74,Spencer Emilie
5.24,Sanders Alijah
4.04,Palmer Zaiden
4.17,Yoder Gilberto
6,Fisher Prince
5.7,Alexander Ignacio
6,Fleming Pranav
5.3,Hendrix Anton
4.82,Mccullough Darwin
5.55,Walls Giovanny
2.91,Ferrell Quentin
3.96,Hall Blaze
3.18,Walters Dennis
3.81,Carter Antonio
5.94,Norton Frankie
5.1,Forbes Raina
5.43,Sellers Nevaeh
4.07,Faulkner Cali
4.13,Rodgers Melissa
4.31,Contreras Melina
3.58,Kent Amelie
5.18,Castillo Krystal
3.03,Wong Camille
6,Mccarty Aniyah
3.82,Dalton Amber
5.78,Mcknight Julie
5.48,Phelps Asia
6,Burgess Jenna
5.76,Jimenez Lillianna
3.98,Howe Eliza
6,Mccoy Shea
